prompt_idx	score_range	scores	prompt
65	0.281250	3.593750,3.640625,3.875000,3.687500	A logo that blends a radiant sun with majestic mountains, symbolizing the awe-inspiring beauty of divine creation. The sun is depicted as a golden orb with rays extending outward, casting a warm glow across the landscape. Behind it, towering mountain peaks rise into a clear blue sky, their rugged silhouettes framed against the horizon. The mountains are detailed with snow-capped peaks and lush greenery, adding depth and texture. The logo is designed in a clean, modern style with smooth lines and a minimalist color palette, emphasizing simplicity and elegance. The sun and mountains are centered, creating a balanced composition that captures the essence of nature's grandeur. Wide shot, static scene.
66	0.484375	2.796875,3.281250,3.218750,2.937500	A serene Buddha statue coming to life, sitting cross-legged on a lotus pedestal. The Buddha, with a gentle smile and peaceful expression, delicately picks up a strand of spaghetti with chopsticks. He takes a thoughtful bite, showcasing a blend of traditional Eastern wisdom and modern Western cuisine. The scene is set in a tranquil garden with soft lighting and blooming flowers, creating a harmonious and whimsical atmosphere. Medium close-up, static shot focusing on the Buddha's face and hands.
67	0.250000	2.796875,2.968750,2.718750,2.796875	A formal ceremony where a distinguished man in a black suit and tie receives a noble prize for his groundbreaking work on signal transduction and DNA quality. He stands confidently on a stage under bright lights, holding the award plaque aloft. The audience, comprising dignitaries and scientists in formal attire, applauds enthusiastically. Behind him is a large screen displaying intricate molecular structures and scientific diagrams. The scene is captured in crisp 4K resolution with a medium close-up shot, focusing on the man's proud and appreciative expression as he accepts the honor.
68	1.117188	3.031250,1.921875,1.914062,1.937500	A serene forest landscape with a tall, ancient tree at the center. The tree has a robust trunk covered in moss and vibrant green leaves swaying gently in the breeze. Perched on various branches are several species of birds, singing melodically. The background showcases a lush canopy of trees, with patches of sunlight filtering through, casting dappled shadows on the forest floor. A tranquil atmosphere prevails, capturing the beauty and harmony of nature. Wide shot, static scene.
69	1.898438	2.343750,1.898438,3.796875,2.500000	Cinematic slow-motion scene of a rugged, muscular man jumping from a towering rock into the crashing ocean waves below. The man has tousled brown hair, chiseled facial features, and is shirtless, wearing only swimming trunks. His arms are stretched out for balance as he leaps gracefully into the air. The waves beneath him are turbulent and foamy, reflecting sunlight in shimmering patterns. The background shows the vast expanse of the ocean and a dramatic cliff face. The scene captures the fluidity and power of the moment in a wide-angle, dynamic shot.
70	0.765625	3.828125,4.500000,4.125000,3.734375	Aerial view of unique floating islands drifting freely over a serene, crystal-clear lake. These islands are not anchored to the shoreline but are suspended mid-air, stabilized by an invisible force. The islands are lush with vibrant greenery, featuring dense forests and cascading waterfalls. The camera slowly pans across the tranquil lake, highlighting the floating islands as they gently sway with the breeze. The background showcases a clear blue sky dotted with fluffy clouds, creating a surreal and enchanting atmosphere. Wide shot, aerial perspective.
71	0.125000	3.937500,3.953125,3.953125,4.062500	A 2D animation image in a traditional Indian style, featuring an elderly Indian man sitting outside a small village shop along the roadside. The man has a kind face with wrinkles and a gentle smile, wearing a simple dhoti and kurta. He sits cross-legged, holding a walking stick. Small, rustic houses with thatched roofs and clay walls surround him. The background includes a dusty road and villagers going about their daily activities in the distance. Medium shot, static scene.
72	1.031250	4.375000,3.343750,4.218750,4.062500	A philosophical animated video illustrating the concept of eternity as a continuous flow of time. The scene opens with a vast, serene landscape that gradually transforms into a cosmic vista filled with swirling galaxies and nebulae. A stream of light symbolizes the passage of time, endlessly flowing and merging into infinity. The background transitions smoothly from day to night, seasons changing, and celestial events occurring. The camera follows this stream of light in a slow pan, emphasizing the endless nature of time. The visual style is abstract and ethereal, conveying the idea of continuity and unending cycles.
73	0.757812	1.820312,2.500000,1.742188,2.031250	A Viking warrior driving a modern city bus filled with passengers. The Viking has long blonde hair tied back, a beard, and is adorned with a fur-lined helmet and armor. He wears a traditional tunic and trousers, but also sports a seatbelt as he focuses on navigating the busy streets. The interior of the bus is typical, with rows of seats occupied by diverse passengers going about their daily routines. The exterior shots show the bustling urban environment, including tall buildings and traffic. Medium shot focusing on the Viking at the wheel, with occasional close-ups of his determined expression.
74	0.218750	4.343750,4.187500,4.187500,4.125000	A lonely astronaut, wearing a sleek silver spacesuit with reflective visor, stands amidst the rugged terrain of a distant alien planet. The landscape is barren, with rocky cliffs and strange, luminescent flora casting eerie glows. In the distance, peculiar symbols appear and disappear on the rocky surface, seemingly communicating with the astronaut. The astronaut holds a communication device to their ear, listening intently. The sky above is a deep, starry black with hints of an aurora-like glow. The scene is captured in a mid-shot, emphasizing the vast emptiness and the mysterious messages appearing on the ground.
75	0.343750	4.375000,4.250000,4.593750,4.281250	A vintage, weathered old book opening slowly, revealing ancient pages written in faded, brown ink. The cover of the book is leather-bound with intricate gold engravings along the edges. Dust particles float gently in the soft, dim light that illuminates the page, casting a warm glow over the handwritten text. The background is blurred, focusing solely on the book and its contents. The camera captures this scene with a close-up shot, emphasizing the delicate process of the book opening.
76	0.500000	3.781250,3.640625,3.343750,3.281250	A science fiction animated short, depicting a visit from the extraterrestrial being Valiant Thor. Valiant Thor appears as a tall, muscular figure with a glowing blue visor and a silver chest plate. He stands in front of a small town, where curious humans gather around him. The scene transitions between close-ups of Valiant Thor's expressive face and wide shots of the town, showing the awe-struck reactions of the townsfolk. The background showcases a quaint, early 20th century American town with vintage cars and gas lamps. The atmosphere is a mix of wonder and slight unease. Static scene with minimal camera movement, emphasizing the interactions and expressions of the characters.
77	0.609375	3.281250,3.671875,3.890625,3.500000	A serene and dreamlike cityscape where all buildings are constructed from soft pastel-colored materials, ranging from light pinks and baby blues to gentle lavenders and mint greens. Floating above this whimsical city are numerous large purple balloons, drifting gently in the clear sky. The buildings have intricate, ornate designs with decorative balconies and charming window shutters. The scene is bathed in a warm, golden hour sunlight, casting soft shadows across the streets. The camera captures a wide shot, showcasing the vast array of colors and the peaceful atmosphere of the city.
78	0.281250	3.265625,2.984375,3.046875,3.265625	A realistic office environment where a middle-aged man, dressed in a business suit, is being fired by his stern-looking boss, who is sitting behind a desk. The boss is leaning forward, speaking firmly, with a serious expression. The employee looks downcast, slumping slightly in his chair, with a defeated look on his face. The office is well-lit with modern decor, including a window with natural light. The scene focuses on the interaction between the two individuals, emphasizing their body language and expressions. Medium close-up shot focusing on the faces of both characters.
79	0.578125	2.109375,2.687500,2.250000,2.484375	Apex Legends characters Wattson and Wraith celebrating together. Wattson, with her pink hair and engineering-themed outfit, is smiling widely, holding up a victory sign. Wraith, the spectral hacker with black hair and a hood, is giving a thumbs-up, with a mischievous grin. Both characters are standing close, their expressions full of excitement and joy. The background showcases the vibrant, neon-lit environment typical of Kings Canyon, with a dynamic camera angle capturing their animated celebration. Close-up shot emphasizing their facial expressions and body language.
80	0.640625	2.562500,2.718750,2.843750,2.203125	A man in a wetsuit is surfing on a wave-filled ocean while attempting to work on his laptop, which is precariously placed on his board. He looks frustrated and, at one point, angrily hits the laptop, causing it to fall off the surfboard and sink into the water. The man's face shows a mix of anger and disbelief. The scene includes splashes and waves surrounding him. Shot from a mid-range angle, focusing on the interaction between the man, the laptop, and the ocean.
81	0.937500	3.078125,2.234375,3.171875,2.718750	A student standing at the front of a classroom, confidently presenting a slideshow presentation to their classmates. The student is wearing casual academic attire, with a focused and determined expression. They are holding a laser pointer in one hand, pointing at key elements of the slide. The classroom is well-lit, with students sitting at desks, attentively listening and taking notes. The background shows a whiteboard with some notes written on it and a projector screen displaying the presentation slides. Medium shot, capturing the student and part of the audience.
82	0.406250	2.250000,2.390625,2.046875,2.453125	A vibrant ecosystem bustling with activity, primarily composed of hundreds of bees. The bees are depicted in various activities such as flying, collecting nectar, and forming intricate patterns like honeycomb structures. The environment includes blooming flowers, green foliage, and a serene landscape. The scene transitions from a wide shot showcasing the vast ecosystem to a close-up focusing on individual bees and their interactions. The camera slowly zooms in to highlight the detailed textures of the bees' wings and the complexity of the honeycomb. Mid-to-close up shots, dynamic camera movement.
83	0.437500	2.593750,3.031250,2.843750,2.687500	A time-lapse video showing a gnome meticulously constructing a miniature wooden house in a lush forest clearing. The gnome, with a pointy hat and a cheerful expression, uses tiny tools and materials to build the house brick by brick. The camera remains fixed, capturing the detailed process as the gnome adds a roof, windows, and a door. The surrounding environment includes small flowers, mushrooms, and other miniature forest elements. The video showcases the gnome's dedication and skill in creating a charming little home. Close-up shots highlight the intricate details of the construction process.
84	0.414062	1.406250,1.820312,1.773438,1.562500	A vibrant animation of Mickey Mouse running through a cheerful, colorful park. Mickey, dressed in his iconic red shorts, yellow gloves, and large white shoes, runs with a lively and playful expression. The background showcases a lush green park with winding paths, tall trees, and cheerful flowers. The scene captures Mickey mid-stride, emphasizing his energetic run. The camera remains static, focusing solely on Mickey's dynamic movement as he runs across the frame. Bright and lively cartoon style.
85	0.640625	3.640625,4.281250,4.187500,3.875000	High-end luxury fragrances and men's perfumes displayed elegantly on a marble countertop under soft, warm lighting. The bottles are crafted from luxurious materials such as crystal, glass, and precious metals, each with intricate designs and labels featuring upscale branding. The room is sophisticated, with rich wooden accents and plush furnishings, creating an atmosphere of opulence and refinement. The bottles gently sway to highlight their elegant shapes and textures. Medium close-up shot focusing on the bottles and the luxurious setting.
86	0.281250	3.328125,3.093750,3.093750,3.046875	A beautifully designed modern home interior with clean lines and minimalistic decor. The living room features large floor-to-ceiling windows allowing natural light to flood in, highlighting polished wooden floors and sleek furniture. The walls are painted in soft, neutral tones, and there are subtle touches of greenery throughout the space, adding a refreshing vibe. The kitchen is open and connected to the dining area, showcasing contemporary appliances and a marble countertop. The overall atmosphere is bright, airy, and sophisticated. Static shot, medium scale to capture the entire living space.
87	1.156250	3.046875,2.593750,2.031250,3.187500	Hyperrealistic Japanese-style animation, featuring a young-looking Daphne Guinness standing in front of ancient gold temples. Daphne is dressed in a modern outfit with subtle vintage elements, showcasing her signature eccentric style. She has striking platinum blonde hair styled in an elegant updo, and her facial features are finely detailed, capturing her youthful yet sophisticated demeanor. Behind her, a majestic Japanese dragon soars across the sky, its scales gleaming in the sunlight. The background includes the grandeur of ancient gold temples, their intricate designs and vibrant colors reflecting the rich history of the setting. The scene is reminiscent of old television footage, complete with a nostalgic, slightly grainy texture. Wide shot, capturing both Daphne and the expansive temple landscape.
88	0.156250	4.218750,4.312500,4.375000,4.250000	A close-up shot of a lunch box and a flickering candle placed on a long, winding road. The lunch box is made of traditional brown paper with a white label, while the candle emits a soft, flickering light casting shadows around it. The road stretches far into the distance, covered in gravel and surrounded by sparse, desolate scenery. The camera focuses tightly on the objects, capturing the subtle movements of the flame and the textures of the lunch box. Close-up view, static shot.
89	1.421875	3.390625,3.890625,4.812500,3.546875	A lone gray wolf with piercing yellow eyes walking gracefully through a dense jungle. The wolf's fur is thick and shaggy, with a slight sheen from the morning dew. It moves silently, tail slightly raised, sniffing the air with each step. The jungle surrounds it with towering trees and lush greenery, creating a vibrant and immersive environment. The ground beneath the wolf is covered in fallen leaves and moss. The scene captures the wolf in a mid-shot, emphasizing its interaction with the natural surroundings.
90	0.312500	2.312500,2.609375,2.296875,2.515625	A dramatic, intense scene of a massive storm hitting a bustling city at night. Dark, ominous clouds fill the sky, with lightning illuminating the cityscape intermittently. Strong winds cause streetlights to flicker and sway violently, while rain pours down in sheets. Trees bend under the force of the wind, and debris is scattered throughout the streets. Cars struggle to navigate the flooded roads, their headlights cutting through the heavy rain. The scene includes tall skyscrapers with their lights partially on, adding a sense of urgency and danger. The overall atmosphere is chaotic and threatening, with a close-up view focusing on the interaction between the storm and the urban environment.
91	0.375000	2.656250,2.640625,2.812500,3.015625	A high-quality, vibrant scene featuring fantastic purple cherry blossoms under a neon-lit night sky. The cherry blossoms are in full bloom, creating a lush canopy with soft, flowing petals. Neon lights in various colors and shapes illuminate the blossoms from above, casting colorful shadows on the ground. The background includes a futuristic cityscape with tall buildings and glowing signs. The overall atmosphere is dreamlike and enchanting, with a focus on the interplay between the natural beauty of the cherry blossoms and the artificial glow of neon lights. Wide shot to capture the expansive beauty of the scene.
92	0.875000	3.031250,2.156250,2.718750,2.640625	Cinematic, super realistic 4K HD movie style: A majestic bird, with detailed feathers and lifelike textures, shakes its wings powerfully. The bird's vibrant plumage catches the light, highlighting the intricate patterns and colors. Its posture is dynamic, with wings spread wide as if about to take flight. The background is a blurred, natural landscape, adding depth and realism. The scene captures the raw energy and beauty of the moment in a close-up shot, emphasizing the motion and detail of the wings.
93	0.289062	1.718750,1.820312,1.687500,1.976562	A dramatic historical reenactment in a documentary style, showcasing the global impact of a Russian victory against alien invaders. The scene begins with a montage of cheering crowds across various countries, symbolizing worldwide inspiration. The camera then shifts focus to different locations where humans are organizing and mobilizing to fight back against the aliens. In each location, groups of people are seen working together, repairing damaged infrastructure, and preparing defensive positions. The background shows destroyed cities slowly being rebuilt, with a mix of day and night scenes highlighting the relentless effort. The overall tone is inspiring and hopeful, with a sense of unity and determination. Wide shots and close-ups capture the diverse range of people involved, emphasizing their resilience and bravery.
94	0.421875	3.703125,3.421875,3.375000,3.281250	A young Caucasian boy with curly blonde hair dreams of an endless sea of colorful candies. He is lying on a soft bed with his eyes closed, a serene smile on his face. His arms are gently resting beside him, and he wears a cozy pajama set. The candies are arranged in vibrant patterns, forming a whimsical landscape that stretches as far as the eye can see. The room is dimly lit, creating a dreamlike atmosphere. The scene focuses on the boy's peaceful expression and the fantastical world of sweets surrounding him. Medium close-up shot, static scene.
95	0.593750	2.843750,2.843750,3.437500,3.125000	A high-definition, cinematic showcase of a BMW M3 Touring, highlighting its sleek design and powerful presence. The car is shown in various angles, emphasizing its aggressive front grille, sharp lines, and muscular rear end. The vehicle is displayed under natural lighting conditions, capturing the metallic sheen and detailed contours. The camera slowly pans around the car, focusing on the sporty wheels, aerodynamic side skirts, and distinctive twin exhaust pipes. The background includes a scenic road and lush greenery, enhancing the car's dynamic appeal. Wide and close-up shots, showcasing the car's beauty and performance-oriented features.
96	0.515625	3.171875,3.687500,3.281250,3.265625	"Legion n The Hood" - A futuristic cyberpunk scene set in 2100. A diverse group of five individuals, dressed in sleek, dark cyberpunk attire, stand in a dimly lit alleyway. Each character wears distinctive accessories such as visors, tactical vests, and neon-colored accents. The environment is characterized by glowing neon signs, rain-soaked streets, and towering, dystopian skyscrapers. The group stands in a semi-circle, looking determined and ready for action. The scene is captured in a medium shot, emphasizing the group's dynamic poses and the gritty urban backdrop.
97	0.875000	2.765625,2.968750,3.640625,3.531250	A serene landscape featuring moving clouds drifting across a clear blue sky. In the foreground, a young woman stands with her back to the viewer, her long wavy hair flowing freely in the breeze. Her hair and the clouds are animated, capturing the gentle sway and movement caused by the wind. The woman is dressed casually in a light blouse and jeans. The background showcases rolling hills and a distant horizon. The video focuses primarily on the graceful motion of the clouds and hair, emphasizing fluidity and natural movement. Medium shot focusing on the woman and the sky.
98	0.343750	4.125000,3.781250,4.062500,3.984375	A close-up shot of a dedicated phone spinning slowly on a smooth surface. The phone has a sleek, modern design with a glass back and metallic frame. It spins gracefully, revealing its polished finish and logo on the rear. The background is blurred, focusing attention entirely on the rotating phone. The lighting highlights the curvature of the device, emphasizing its elegant form as it turns steadily. Static scene, medium shot.
99	0.656250	4.000000,3.875000,3.343750,3.937500	Aerial drone footage captures the precise alignment of ancient stone structures with true north. The camera pans slowly over a vast landscape dotted with meticulously arranged megalithic stones, each standing tall and weathered. The stones are evenly spaced and perfectly aligned along a single axis pointing directly towards the magnetic north pole. The sun casts long shadows, emphasizing their symmetry and purposeful placement. The scene transitions to a close-up of intricate carvings on one of the stones, revealing detailed astronomical symbols. The camera then pulls back to show the broader context of the surrounding terrain, highlighting the structures' integration with the natural environment. Midday lighting provides a clear contrast between the shadowed and sunlit areas, enhancing the dramatic effect of the alignment. Wide shot to medium close-up aerial perspective.
100	0.562500	3.296875,3.843750,3.281250,3.468750	A bustling street in Dhaka, Bangladesh, filled with rows of colorful dustbins lined up along the sidewalks. The dustbins are made of various materials including metal and plastic, and come in different sizes and shapes. They are scattered among pedestrians, vendors, and vehicles, reflecting the vibrant yet chaotic urban environment. The sun casts long shadows across the pavement, highlighting the diversity of people and activities happening around these dustbins. Medium shot capturing the dynamic street life with a static camera angle.

# Summary
mean_range	0.559648
median_range	0.511719
min_range	0.078125
max_range	1.898438
